S.N.,Office,Phone No.,Email
41,"Regional Agricultural Research Station, Khajura",081-520883,rarskhajura@gmail.com
42,"Regional Agricultural Research Station, Bhairahawa","071-521901, 521902",nwrp.bhairahawa@gmail.com
43,"Regional Agricultural Research Station, Rampur",056-530297,nglrp_rampur@hotmail.com
44,"Crop Research Programme, Gulmi",079-520765,crp.gulmi@gmail.com
45,"Regional Agricultural Research Directorate, Bairahawa",071-521903,"rasrpar@yahoo.com, doar.p2.narc@gmail.com"
46,"National Rice Research Programme, Hardiya, Dhanusha",9854057054,nrrpjnk@gmail.com
47,"National Wheat Research Programme, Bhairahawa",071-521902,srpnarc@gmail.com
48,"Oilseed Research Programme, Nawalpur",078-520952,"norp_nawalpur@yahoo.com, oilseednawalpur@gmail.com"
49,"Bean Research Programme, Belachapi, Dhankuta",026-560197,arsbelachapi@gmail.com
50,"Maize Research Station, Amritpur",025-581002,amtrc.narc@gmail.com
51,"Rice Research Station, Ghiring",9856039256,aircranighat@gmail.com
52,"Regional Agricultural Research Directorate, Koshi Province, Tarahara, Sunsari",025-581001,"rarst.narc@gmail.com, doar1.narc@gmail.com"
53,"Agricultural Research Centre, Pachhim, Suryapatuwa, Surkhet",083-580399,asrpakh@gmail.com
54,"NARC Programme, Tarahara",025-581001,nbrp.tarahara69@gmail.com
55,"Agricultural Research Station, Pakhapani, Baitadi",094-400199,jrpitahari@gmail.com
56,"Vegetable Research Centre, Dhankuta",026-520366,ncrpdhankuta@gmail.com
57,"Vegetable Research Centre, Khairbas, Dhanusha",041-520366,ncrpankhairbas@gmail.com
58,"Agricultural Research Centre, Jajarkot",089-440294,asjaujbari@gmail.com
59,"Research Programme, Surkhet",083-540995,"nsrpnarc@gmail.com, surkhetarres@gmail.com"
60,"Agricultural Research Station, Bishrampur, Jhumka",025-561299,asvijaynagar@gmail.com
61,"Agricultural Research Station, Rajikot",085-520095,hrsrajikot@gmail.com
62,"Agricultural Research Station, Nepalgunj",081-520093,ngrpnarc@gmail.com
63,"Sheep and Goat Research Programme, Jumla",089-621134,sgrpjumla2@gmail.com
64,"Horticulture Research Centre, Deulek",085-420196,hrsdailekh@gmail.com
65,"Agricultural Research Directorate, Sudurpaschim Province, Bagbazar, Doti",094-421992,"arsdoti@gmail.com, doarsudurp.nar@gmail.com"
66,"High Mountain Agricultural Research Institute, Guthichaur, Jumla",9858056566,marijumla@gmail.com
